1: Date/Time,Sentiment,2: Tweet,3: Hashtags,4: Type,5: Reply to,6: Author,7: Author?s real name,8: Author's location,9: Author?s timezone,10: Author?s URL,11: Author?s description,12: Followers,13: Follows,14: Tweets,15: Profile verified,16: Profile created,17: Retweets,18: Likes,19: Language,20: Source,21: Tweet coordinates
1/11/2019 17:52,negatif,"@VIVAcoid Rezim saat ini ganggu stabilitas negara
#RezimSontoloyo
#2019GantiPresiden
#2019PrabowoSandi #2019PrabowoPresiden #SelamanyaTetapAntiPKI #SaveAniesBaswedan","RezimSontoloyo
2019GantiPresiden
2019PrabowoSandi
2019PrabowoPresiden
SelamanyaTetapAntiPKI
SaveAniesBaswedan",Reply,VIVAcoid,wahyusakha1,Terus berlari hingga garis finish,"Depok, Jawa Barat",,,Demi Mencari Perubahan yg lbh baik,472,675,1060,FALSE,5/16/2015 16:00,0,1,Indonesian,Twitter for Android,
1/11/2019 17:53,negatif,"Kita tidak butuh yanh namanya Revolusi Mental. Yang kita butuhkan adalah Revolusi Moral. 

Revolusi Mental hanya akan berujung pada Sekularisme dam Liberalisme (sama-sama membawa kemudharatan) Revolusi Moral akan membawa kita pada kebaikan
#AntiRevolusiMental #2019GantiPresiden https://t.co/tSlept8HLC","AntiRevolusiMental
2019GantiPresiden",Tweet,,turkknight48,Muhammad Farouk Arshavin,Munich,,https://t.co/ZJrYD8RoFe,Activist of Muslim United ? JKT48 Enthusiast ? Simpatisan Partai Keadilan Sejahtera (PKS) ? ???????????????????????? ? #2019PrabowoSandi #2019PilihPKS,148,348,14963,FALSE,2/13/2017 18:23,2,1,Indonesian,Twitter for Android,
1/11/2019 17:54,negatif,"Kawanan Besar Belalang Hitam 'Serbu' Masjidil Haram Mekkah
??2??? #???????????????????????????????? ??2???
#2019GantiPresiden
#2019PrabowoPresiden
#PrabowoSandiOK
#PrabowoSandiAja
#KPUwajibNetral
https://t.co/0752IsOSX6","????????????????????????????????
2019GantiPresiden
2019PrabowoPresiden
PrabowoSandiOK
PrabowoSandiAja
KPUwajibNetral",Tweet,,Royyan_,??,Jakarta,,,,431,233,39088,FALSE,8/27/2009 3:10,0,0,Indonesian,IFTTT,
1/11/2019 17:55,negatif,"@kompascom Gagal #2019Ganti_VISIMISI
Gagal  #2019GantiPresiden","2019Ganti_VISIMISI
2019GantiPresiden",Reply,kompascom,sawer_kang,Kang Sawer,"Trenggalek, Indonesia",,,tindak laku sae kang lumampah mrih ridhaning Gusti Allah,118,270,1669,FALSE,7/27/2017 20:43,0,0,Indonesian,Twitter for Android,
1/11/2019 17:57,negatif,"""Dari empat wajah itu yang potensi memalukan publik yang mana?
You (KPU) enggak usah jawab, kasih kisi-kisinya saja,""
~@rockygerung~

????????
#ILCMengujiNetralitasKPU #2019GantiPresiden #2019PrabowoPresidenRI https://t.co/GpwwSlHDPD https://t.co/mpAeXPgHMr","ILCMengujiNetralitasKPU
2019GantiPresiden
2019PrabowoPresidenRI",Tweet,,ImOuR2,ImOuR,"Kota Surabaya, Jawa Timur",,https://t.co/OETovPAtx2,"Gak luwe gak mangan,Gak mangan gak luwe",8,53,56,FALSE,12/8/2018 23:44,0,1,Indonesian,Twitter for Android,
1/11/2019 17:57,positif,"Tadi pagi di bitung, semoga yg punya ada disini, salam seperjuangan. Love it
#2019PrabowoPresidenRI 
#2019GantiPresiden #2019PrabowoSandi https://t.co/xhN01hjNUZ","2019PrabowoPresidenRI
2019GantiPresiden
2019PrabowoSandi",Tweet,,onykustant,precil_pecicilan,,,,cool..calm..confidence,284,618,882,FALSE,5/23/2013 22:34,6,16,Indonesian,Twitter for Android,
1/11/2019 17:57,negatif,"Presiden Jokowi: Saya Tidak Percaya ada Guru Gajinya Rp300 Ribu, Tapi... https://t.co/VWsVfprkgP #2019tetapjokowi #2019gantipresiden","2019tetapjokowi
2019gantipresiden",Tweet,,mepolindo,Meme Politik Indonesia,,,https://t.co/QWlWYBvUMA,"Meme Politik Indonesia tersedia di Instagram, Facebook dan Twitter. Silakan gunakan fitur search/pencarian dengan kata kunci 'Meme Politik Indonesia'.",93,232,8338,FALSE,9/15/2017 14:51,0,0,Indonesian,IFTTT,
1/11/2019 17:58,negatif,"@VIVAcoid trs klo gak melanggar HAM, emang kasus nya mo dibiarin aja gitu, gak diurus sampe tuntas... Hadeeeuh... 

#2019GantiPresiden 
#2019PrabowaPresidenRI","2019GantiPresiden
2019PrabowaPresidenRI",Reply,VIVAcoid,aa_gondrong,2019 Presiden Baru,Cirebon,,,"Penderitaan yang sesungguhnya adalah ketika kamu kehilangan kepercayaan diri dan harapan.
Ketika Allah tak ada dalam tujuan hidupmu.",463,351,7226,FALSE,5/12/2012 21:44,0,2,Indonesian,Twitter Web Client,
1/11/2019 18:00,negatif,@zuffarikhsannn Makanya #2019GantiPresiden,2019GantiPresiden,Reply,zuffarikhsannn,tweetojan,Fauzans,Indonesia,,https://t.co/Iu1pfQRUdK,,39,79,857,FALSE,6/21/2018 0:49,0,0,Indonesian,Twitter for iPhone,
1/11/2019 18:00,positif,"@MSApunya @dektampu Pilih no urut 2
#2019GantiPresiden 
#2019PrabowoPresidenRI","2019GantiPresiden
2019PrabowoPresidenRI",Reply,MSApunya,Sus4nt1_,Santi,,,,,183,230,208,FALSE,11/22/2018 15:57,0,0,Indonesian,Twitter for Android,
